State,ST_CEN_CD,District,DISTRICT,DT_CEN_CD,Category,Indicator,NFHS 5,NFHS 4
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Population and Household Profile,Female population age 6 years and above who ever attended school (%),78,77.2
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Population and Household Profile,Population below age 15 years (%),23,25.4
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Population and Household Profile,"Sex ratio of the total population (females per 1,000 males)",973,957
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Population and Household Profile,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",927,1060
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Population and Household Profile,Children under age 5 years whose birth was registered with the civil authority (%),98,99.3
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Population and Household Profile,Deaths in the last 3 years registered with the civil authority (%),83.2,0
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Population and Household Profile,Population living in households with electricity (%),97.9,99.6
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Population and Household Profile,Population living in households with an improved drinkingwater source (%),98.8,99.8
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Population and Household Profile,Population living in households that use an improved sanitation facility (%),83.5,85.9
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Population and Household Profile,Households using clean fuel for cooking (%),56.9,39.3
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Population and Household Profile,Households using iodized salt (%),99.4,99.7
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Population and Household Profile,Households with any usual member covered under a health insurance/financing scheme (%),2.7,4.3
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Population and Household Profile,Children age 5 years who attended preprimary school during the school year 2019-20 (%),29.5,0
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Characteristics of Women,Women who are literate (%),87.5,0
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Characteristics of Women,Women with 10 or more years of schooling (%),53.5,43.7
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Marriage and Fertility,Women age 2024 years married before age 18 years (%),11.4,8.3
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Marriage and Fertility,Births in the 5 years preceding the survey that are third or higher order (%),0,3
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Marriage and Fertility,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),1.8,3.8
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Marriage and Fertility,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),100,96.1
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Current Use of Family Planning Methods,Any method (%),65.3,38
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Current Use of Family Planning Methods,Any modern method (%),57.2,37.8
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Current Use of Family Planning Methods,Female sterilization (%),46.4,35.6
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Current Use of Family Planning Methods,Male sterilization (%),0,0
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Current Use of Family Planning Methods,IUD/PPIUD (%),2.7,0
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Current Use of Family Planning Methods,Pill (%),2,1.1
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Current Use of Family Planning Methods,Condom (%),4.9,1.2
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Current Use of Family Planning Methods,Injectables (%),1.2,0
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Unmet Need for Family Planning,Total unmet need (%),9.5,18
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Unmet Need for Family Planning,Unmet need for spacing (%),3.3,14.2
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Quality of Family Planning Services,Health worker ever talked to female non-users about family planning (%),40.4,48.1
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Quality of Family Planning Services,Current users ever told about side effects of current method (%),49.4,87.6
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Maternal and Child Health,Mothers who had an antenatal checkup in the first trimester (%),62.8,62
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Maternal and Child Health,Mothers who had at least 4 antenatal care visits (%),71.7,64.9
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Maternal and Child Health,Mothers whose last birth was protected against neonatal tetanus (%),78,92.4
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Maternal and Child Health,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),72.6,19
Andaman & Nicobar Island,35,Nicobar,Nicobar_1,1,Maternal and Child Health,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),43.9,3
