nfhs_state,nfhs_district,hospital_dir_state,hospital_dir_district,match_confidence,is_parent_broadcast
Ladakh,Kargil,,,0.0,False
Ladakh,Leh (Ladakh),,,0.0,False
NCT of Delhi,Central,,,0.0,False
NCT of Delhi,East,,,0.0,False
NCT of Delhi,New Delhi,,,0.0,False
NCT of Delhi,North,,,0.0,False
NCT of Delhi,North East,,,0.0,False
NCT of Delhi,North West,,,0.0,False
NCT of Delhi,Shahdara,,,0.0,False
NCT of Delhi,South,,,0.0,False
NCT of Delhi,South East,,,0.0,False
NCT of Delhi,South West,,,0.0,False
NCT of Delhi,West,,,0.0,False
Andaman & Nicobar Island,Nicobar,Andaman and Nicobar Islands,,10.0,False
Jammu & Kashmir,Reasi,Jammu and Kashmir,,22.2,False
Sikkim,North District,Sikkim,,24.0,False
Daman & Diu,Diu,Daman and Diu,,25.0,False
Sikkim,West District,Sikkim,,25.0,False
Telangana,Siddipet,Telangana,Medak,25.0,True
Telangana,Suryapet,Telangana,Nalgonda,25.0,True
Puducherry,Mahe,Puducherry,,28.6,False
Arunachal Pradesh,Lohit,Arunachal Pradesh,,30.0,False
Nagaland,Peren,Nagaland,,30.8,False
Nagaland,Phek,Nagaland,,30.8,False
Puducherry,Yanam,Puducherry,,30.8,False
Tripura,Unakoti,Tripura,,30.8,False
Manipur,Senapati,Manipur,,31.6,False
Sikkim,South District,Sikkim,,32.0,False
Arunachal Pradesh,Kra Daadi,Arunachal Pradesh,,33.3,False
Jammu & Kashmir,Punch,Jammu and Kashmir,,33.3,False
Sikkim,East District,Sikkim,,33.3,False
Telangana,Jayashankar Bhupalapally,Telangana,Warangal,33.3,True
Tripura,Gomati,Tripura,,33.3,False
Assam,South Salmara Mancachar,Assam,Cachar,34.5,False
Telangana,Bhadradri Kothagudem,Telangana,Khammam,34.5,True
Arunachal Pradesh,Longding,Arunachal Pradesh,,34.8,False
Jammu & Kashmir,Bandipore,Jammu and Kashmir,,35.3,False
Manipur,Tamenglong,Manipur,,35.3,False
Tamil Nadu,Thoothukkudi,Tamil Nadu,Theni,35.3,False
Arunachal Pradesh,Dibang Valley,Arunachal Pradesh,,35.7,False
Arunachal Pradesh,Anjaw,Arunachal Pradesh,,36.4,False
Arunachal Pradesh,Kurung Kumey,Arunachal Pradesh,,36.4,False
Arunachal Pradesh,Tirap,Arunachal Pradesh,,36.4,False
Chhattisgarh,Balod,Chhattisgarh,Durg,36.4,True
Gujarat,Devbhumi Dwarka,Gujarat,Jamnagar,37.0,True
Arunachal Pradesh,Namsai,Arunachal Pradesh,,37.5,False
Nagaland,Longleng,Nagaland,,37.5,False
Arunachal Pradesh,West Kameng,Arunachal Pradesh,,38.1,False
Jammu & Kashmir,Rajouri,Jammu and Kashmir,,40.0,False
Telangana,Komaram Bheem Asifabad,Telangana,Adilabad,40.0,True
Telangana,Nagarkurnool,Telangana,Mahabubnagar,40.0,True
Telangana,Peddapalli,Telangana,Karimnagar,40.0,True
Arunachal Pradesh,Lower Dibang Valley,Arunachal Pradesh,,41.2,False
Telangana,Jogulamba Gadwal,Telangana,Mahabubnagar,41.7,True
Telangana,Rajanna Sircilla,Telangana,Karimnagar,41.7,True
Assam,Hojai,Assam,Kokrajhar,42.9,False
Gujarat,Botad,Gujarat,Bhavnagar,42.9,True
Gujarat,Morbi,Gujarat,Porbandar,42.9,False
Jammu & Kashmir,Kishtwar,Jammu and Kashmir,,42.9,False
Jammu & Kashmir,Shupiyan,Jammu and Kashmir,,42.9,False
Gujarat,Chhota Udaipur,Gujarat,Vadodara,43.5,True
Gujarat,Gir Somnath,Gujarat,Junagadh,43.5,True
Assam,Biswanath,Assam,Sivasagar,44.4,False
Chhattisgarh,Baloda Bazar,Chhattisgarh,Raipur,44.4,True
Jammu & Kashmir,Ganderbal,Jammu and Kashmir,,44.4,False
Telangana,Mancherial,Telangana,Adilabad,44.4,True
Telangana,Yadadri Bhuvanagiri,Telangana,Nalgonda,45.2,True
Manipur,Bishnupur,Manipur,,45.5,False
Telangana,MedchalMalkajgiri,Telangana,Ranga Reddy,45.5,True
Assam,Majuli,Assam,Dhemaji,46.2,False
Jammu & Kashmir,Ramban,Jammu and Kashmir,,46.2,False
Manipur,Ukhrul,Manipur,,46.2,False
Meghalaya,Ribhoi,Meghalaya,,46.2,False
Nagaland,Kiphire,Nagaland,,46.2,False
Nagaland,Mon,Nagaland,,46.2,False
Chhattisgarh,Janjgir - Champa,Chhattisgarh,Janjgir-Champa,46.7,False
Assam,Hailakandi,Assam,Nalbari,47.1,False
Madhya Pradesh,Agar Malwa,Madhya Pradesh,Shajapur,47.1,True
