State,District,Overall_MAI_entropy,Overall_MAI_judgment,Overall_MAI_equal_weight,Rank_entropy,Rank_judgment,Rank_Diff_abs,Chronic_MAI,Acute_MAI,Chronic_Acute_Overlap_MAI,Momentum,Future_MAI_3yr,Rank_Current,Rank_Future,Rank_Delta,Cluster_Label,Tier,Population_2011,PatientPool_proxy,PatientPool_x_MAI,Reps_allocated
Andaman & Nicobar Island,Nicobar,0.2714170772602857,0.3884694066343655,0.4530423140100023,183,372,189,0.4689194398578964,0.1575381570655899,0.2717953354409191,0.3400193985212318,0.25738925898134796,183,197,-14,"Small Underserved, Chronic-Leaning",Tier 2,36842.0,21678.480743414493,5883.909882820947,0.0130916773498447
Andaman & Nicobar Island,North & Middle Andaman,0.1895387390945264,0.3384583174978925,0.3781432028543778,361,569,208,0.2633756957141266,0.0869602066050882,0.1513380484678566,0.3353525645883108,0.17481089572565053,361,454,-93,"Small Underserved, Chronic-Leaning",Tier 3,105597.0,48267.28806774561,9148.520919872783,0.0164777275913853
Andaman & Nicobar Island,South Andaman,0.1745710385920304,0.3570353505924875,0.3716054486132529,461,508,47,0.1776741955574883,0.076346813025531,0.1164682728801677,0.3170985536285009,0.15710509357918306,461,537,-76,"Small Underserved, Chronic-Leaning",Tier 3,238142.0,82660.91037678841,14430.200975438696,0.021528718755167
Andhra Pradesh,Anantapur,0.215075924583035,0.4070963888564322,0.4055616956182782,274,285,11,0.1311541561013446,0.0693316777155568,0.0953579450380211,0.3006033904490332,0.1951357050932675,274,360,-86,Mainstream Mid-Tier,Tier 2,4081148.0,1163669.567252113,250277.30808588845,0.2465184879719603
Andhra Pradesh,Chittoor,0.2234886872447752,0.4227123756512208,0.4213983360194931,263,210,53,0.14138774617125,0.077287958874185,0.1045350195455919,0.3107535805788458,0.20507099627447956,263,321,-58,Mainstream Mid-Tier,Tier 2,4174064.0,1262208.9802875374,282089.4280330281,0.2926821290092669
Andhra Pradesh,East Godavari,0.3516077810559749,0.5196323549999806,0.5067580155160395,9,10,1,0.1985040823495364,0.2617162605688042,0.2279292568762568,0.3046834672084978,0.33227957308012707,9,37,-28,Established High-Value,Tier 1,5154296.0,2023640.208877005,711527.6434988932,1.1008586594782384
Andhra Pradesh,Guntur,0.2596527947154933,0.4249745048415578,0.4649372194851422,205,205,0,0.2498308339860164,0.0769549122244938,0.1386568061811824,0.2866241076038275,0.23761568279894493,205,252,-47,Mainstream Mid-Tier,Tier 2,4887813.0,2045693.2582327495,531169.9716307768,0.6439102372932406
Andhra Pradesh,Krishna,0.2668426083478132,0.4393023101857551,0.4618196502985122,196,157,39,0.2428227858887535,0.095436700850369,0.1522307642249692,0.3032183552205175,0.24729463357376835,196,222,-26,Mainstream Mid-Tier,Tier 2,4517398.0,1723544.0517779696,459914.9903787918,0.580991070914095
Andhra Pradesh,Kurnool,0.2170443468988178,0.4199602706649575,0.4272299094895022,271,219,52,0.1340765773297483,0.0716615149734817,0.0980210724992791,0.312583984864976,0.19890121657144172,271,343,-72,Mainstream Mid-Tier,Tier 2,4053463.0,1360547.77368974,295299.2029651302,0.2954762887997823
Andhra Pradesh,Prakasam,0.2448668533289972,0.4359697022989612,0.4649625325736033,238,165,73,0.2105343223742806,0.0853901298516691,0.1340803979922978,0.2227668203322808,0.21325114832171685,238,300,-62,Mainstream Mid-Tier,Tier 2,3397448.0,1448466.7055075811,354681.48432946065,0.4298430851016479
Andhra Pradesh,Sri Potti Sriramulu Nellore,0.2453364897944567,0.4347180584103718,0.4450848630324759,236,167,69,0.209088138864886,0.0906712927250604,0.1376891130204424,0.3152906726665666,0.22759936263731922,236,272,-36,Mainstream Mid-Tier,Tier 2,2963557.0,1089107.5284828271,267197.8180466931,0.3323903090601184
Andhra Pradesh,Srikakulam,0.208106713399076,0.4083829185223285,0.408609799504526,299,281,18,0.1340323370140195,0.0692761237870524,0.0963599541845633,0.2984677301522534,0.1878461448647915,299,390,-91,Mainstream Mid-Tier,Tier 2,2703114.0,794370.0466043582,165313.73962150383,0.1716844378824426
Andhra Pradesh,Visakhapatnam,0.225030548327701,0.4167335996961006,0.4206902189376078,260,233,27,0.1481115454821176,0.0758297071953232,0.1059776161562232,0.3022937613165686,0.20534388446806381,260,319,-59,Mainstream Mid-Tier,Tier 2,4290589.0,1329553.9392854322,299190.2519886557,0.3115282166658054
Andhra Pradesh,Vizianagaram,0.2229471081216821,0.3937036180834075,0.3983635489115715,264,345,81,0.1776556819234807,0.0785960377140012,0.1181652769495527,0.2816634914457026,0.20016590378141502,264,337,-73,Mainstream Mid-Tier,Tier 2,2344474.0,707778.9973824708,157797.28065568546,0.1848242671638974
Andhra Pradesh,West Godavari,0.2647978486199742,0.431848159149455,0.4564682117336452,199,176,23,0.2503159482576,0.0929052228693722,0.1524980621536895,0.2905657212022114,0.2433519787431834,199,233,-34,Mainstream Mid-Tier,Tier 2,3936966.0,1522667.335690254,403199.03465468733,0.5165357447751563
Andhra Pradesh,Y.S.R.,0.2316856258005457,0.4133976421876686,0.4259795391547725,253,253,0,0.1929186774723979,0.0777948484266427,0.1225074661913859,0.2743699572622915,0.20781039133276694,253,314,-61,Mainstream Mid-Tier,Tier 2,2882469.0,998024.1421158962,231227.84793017418,0.2716812145749112
Arunachal Pradesh,Anjaw,0.1504592271551391,0.3307953140462223,0.3687555890710554,604,599,5,0.2448062930353116,0.0885666061573455,0.1472469440772818,0.3432815116422525,0.1369207258443545,604,620,-16,"Small Underserved, Chronic-Leaning",Tier 4,21167.0,10515.220693597576,1582.111978924417,0.0034497769240125
Arunachal Pradesh,Changlang,0.1627817415820305,0.3137646389283631,0.3333185701767927,541,655,114,0.2021012206128201,0.0614113683376624,0.1114060703038442,0.3936509747993685,0.15679865974481327,541,541,0,"Small Underserved, Chronic-Leaning",Tier 4,148226.0,48736.35763588296,7933.389174333718,0.0124697969862656
Arunachal Pradesh,Dibang Valley,0.1109990713688838,0.2776344710857633,0.3181087189692392,699,700,1,0.221396955241811,0.0670492368445646,0.1218379944379981,0.3725073632812644,0.10184444780395097,699,702,-3,"Small Underserved, Chronic-Leaning",Tier 4,8004.0,3385.123696544013,375.74558678518866,0.0009482135793645
Arunachal Pradesh,East Kameng,0.248995939332298,0.3645932018078485,0.3471726555810794,228,478,250,0.2142879117787767,0.226361011016359,0.2202417498087686,0.4271053377838098,0.248031011942747,228,219,9,"Small Underserved, Chronic-Leaning",Tier 2,78690.0,25332.581450162976,6307.709913895278,0.0128446314129357
