parent_state,parent_district,parent_population,member_state,member_district,is_parent_namesake,member_hospital_count,weight,method,apportioned_population
Andhra Pradesh,Adilabad,2741239,Telangana,Komaram Bheem Asifabad,False,29.0,0.25,hospital_weighted,685310.0
Andhra Pradesh,Adilabad,2741239,Telangana,Nirmal,False,29.0,0.25,hospital_weighted,685310.0
Andhra Pradesh,Adilabad,2741239,Telangana,Mancherial,False,29.0,0.25,hospital_weighted,685310.0
Andhra Pradesh,Adilabad,2741239,Telangana,Adilabad,True,29.0,0.25,hospital_weighted,685310.0
Andhra Pradesh,Karimnagar,3776269,Telangana,Rajanna Sircilla,False,88.0,0.2558,hospital_weighted,966022.0
Andhra Pradesh,Karimnagar,3776269,Telangana,Peddapalli,False,88.0,0.2558,hospital_weighted,966022.0
Andhra Pradesh,Karimnagar,3776269,Telangana,Jagitial,False,80.0,0.2326,hospital_weighted,878202.0
Andhra Pradesh,Karimnagar,3776269,Telangana,Karimnagar,True,88.0,0.2558,hospital_weighted,966022.0
Andhra Pradesh,Khammam,2797370,Telangana,Bhadradri Kothagudem,False,61.0,0.5,hospital_weighted,1398685.0
Andhra Pradesh,Khammam,2797370,Telangana,Khammam,True,61.0,0.5,hospital_weighted,1398685.0
Andhra Pradesh,Mahbubnagar,4053028,Telangana,Jogulamba Gadwal,False,19.0,0.25,hospital_weighted,1013257.0
Andhra Pradesh,Mahbubnagar,4053028,Telangana,Wanaparthy,False,19.0,0.25,hospital_weighted,1013257.0
Andhra Pradesh,Mahbubnagar,4053028,Telangana,Nagarkurnool,False,19.0,0.25,hospital_weighted,1013257.0
Andhra Pradesh,Mahbubnagar,4053028,Telangana,Mahabubnagar,True,19.0,0.25,hospital_weighted,1013257.0
Andhra Pradesh,Medak,3033288,Telangana,Siddipet,False,40.0,0.3333,hospital_weighted,1011096.0
Andhra Pradesh,Medak,3033288,Telangana,Sangareddy,False,40.0,0.3333,hospital_weighted,1011096.0
Andhra Pradesh,Medak,3033288,Telangana,Medak,True,40.0,0.3333,hospital_weighted,1011096.0
Andhra Pradesh,Nalgonda,3488809,Telangana,Suryapet,False,50.0,0.3333,hospital_weighted,1162936.0
Andhra Pradesh,Nalgonda,3488809,Telangana,Yadadri Bhuvanagiri,False,50.0,0.3333,hospital_weighted,1162936.0
Andhra Pradesh,Nalgonda,3488809,Telangana,Nalgonda,True,50.0,0.3333,hospital_weighted,1162936.0
Andhra Pradesh,Nizamabad,2551335,Telangana,Kamareddy,False,38.0,0.5,hospital_weighted,1275668.0
Andhra Pradesh,Nizamabad,2551335,Telangana,Nizamabad,True,38.0,0.5,hospital_weighted,1275668.0
Andhra Pradesh,Rangareddy,5296741,Telangana,Vikarabad,False,83.0,0.3333,hospital_weighted,1765580.0
Andhra Pradesh,Rangareddy,5296741,Telangana,MedchalMalkajgiri,False,83.0,0.3333,hospital_weighted,1765580.0
Andhra Pradesh,Rangareddy,5296741,Telangana,Ranga Reddy,True,83.0,0.3333,hospital_weighted,1765580.0
Andhra Pradesh,Warangal,3512576,Telangana,Jayashankar Bhupalapally,False,80.0,0.2,hospital_weighted,702515.0
Andhra Pradesh,Warangal,3512576,Telangana,Mahabubabad,False,80.0,0.2,hospital_weighted,702515.0
Andhra Pradesh,Warangal,3512576,Telangana,Jangoan,False,80.0,0.2,hospital_weighted,702515.0
Andhra Pradesh,Warangal,3512576,Telangana,Warangal Rural,False,80.0,0.2,hospital_weighted,702515.0
Andhra Pradesh,Warangal,3512576,Telangana,Warangal Urban,False,80.0,0.2,hospital_weighted,702515.0
Arunachal Pradesh,East Siang,99214,Arunachal Pradesh,Siang,False,2.0,0.5,hospital_weighted,49607.0
Arunachal Pradesh,East Siang,99214,Arunachal Pradesh,East Siang,True,2.0,0.5,hospital_weighted,49607.0
Arunachal Pradesh,Kurung Kumey,92076,Arunachal Pradesh,Kra Daadi,False,,0.5,equal_split,46038.0
Arunachal Pradesh,Kurung Kumey,92076,Arunachal Pradesh,Kurung Kumey,True,,0.5,equal_split,46038.0
Arunachal Pradesh,Lohit,145726,Arunachal Pradesh,Namsai,False,,0.5,equal_split,72863.0
Arunachal Pradesh,Lohit,145726,Arunachal Pradesh,Lohit,True,,0.5,equal_split,72863.0
Arunachal Pradesh,Tirap,111975,Arunachal Pradesh,Longding,False,,0.5,equal_split,55988.0
Arunachal Pradesh,Tirap,111975,Arunachal Pradesh,Tirap,True,,0.5,equal_split,55988.0
Assam,Dhubri,1949258,Assam,South Salmara Mancachar,False,15.0,0.8824,hospital_weighted,1719934.0
Assam,Dhubri,1949258,Assam,Dhubri,True,2.0,0.1176,hospital_weighted,229324.0
Assam,Jorhat,1092256,Assam,Majuli,False,1.0,0.0667,hospital_weighted,72817.0
Assam,Jorhat,1092256,Assam,Jorhat,True,14.0,0.9333,hospital_weighted,1019439.0
Assam,Karbi Anglong,956313,Assam,West Karbi Anglong,False,1.0,0.5,hospital_weighted,478156.0
Assam,Karbi Anglong,956313,Assam,Karbi Anglong,True,1.0,0.5,hospital_weighted,478156.0
Assam,Nagaon,2823768,Assam,Hojai,False,3.0,0.5,hospital_weighted,1411884.0
Assam,Nagaon,2823768,Assam,Nagaon,True,3.0,0.5,hospital_weighted,1411884.0
Assam,Sivasagar,1151050,Assam,Charaideo,False,15.0,0.6522,hospital_weighted,750685.0
Assam,Sivasagar,1151050,Assam,Sivasagar,True,8.0,0.3478,hospital_weighted,400365.0
Assam,Sonitpur,1924110,Assam,Biswanath,False,8.0,0.5333,hospital_weighted,1026192.0
Assam,Sonitpur,1924110,Assam,Sonitpur,True,7.0,0.4667,hospital_weighted,897918.0
Chhattisgarh,Bastar,1413199,Chhattisgarh,Kodagaon,False,7.0,0.5,hospital_weighted,706600.0
Chhattisgarh,Bastar,1413199,Chhattisgarh,Bastar,True,7.0,0.5,hospital_weighted,706600.0
Chhattisgarh,Bilaspur,2663629,Chhattisgarh,Mungeli,False,3.0,0.5,equal_split_implausible_ratio,1331814.0
Chhattisgarh,Bilaspur,2663629,Chhattisgarh,Bilaspur,True,64.0,0.5,equal_split_implausible_ratio,1331814.0
Chhattisgarh,Dakshin Bastar Dantewada,533638,Chhattisgarh,Sukma,False,6.0,0.5,hospital_weighted,266819.0
Chhattisgarh,Dakshin Bastar Dantewada,533638,Chhattisgarh,Dantewada,True,6.0,0.5,hospital_weighted,266819.0
Chhattisgarh,Durg,3343872,Chhattisgarh,Balod,False,64.0,0.3333,hospital_weighted,1114624.0
Chhattisgarh,Durg,3343872,Chhattisgarh,Bemetara,False,64.0,0.3333,hospital_weighted,1114624.0
Chhattisgarh,Durg,3343872,Chhattisgarh,Durg,True,64.0,0.3333,hospital_weighted,1114624.0
Chhattisgarh,Raipur,4063872,Chhattisgarh,Baloda Bazar,False,170.0,0.3333,hospital_weighted,1354624.0
